Field,ID,Type (Type),default,en,ar,be,bg,ca,cs,da,de,el,es,eu,fa,fr,gl,hr,hu,hy,id,it,ja,ka,ko,lt,nl,pl,pt,pt-br,ro,ru,sk,sq,sv,th,tr,uk,zh-cn,zh-hk,zh-tw
StoreLogo1080x1080,601,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926137/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926329/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926301/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926303/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926305/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926307/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926309/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926311/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926313/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926315/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926317/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926319/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926321/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926323/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926325/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926327/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926359/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926357/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926355/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926353/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926330/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926332/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926334/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926336/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926338/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926340/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926342/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926344/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926346/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926348/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926350/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926389/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926387/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926385/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926383/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926381/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926379/listingassets/3018156954705163279,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926377/listingassets/3018156954705163279
StoreLogo300x300,602,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OverrideLogosForWin10,603,True/False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
StoreLogoOverride150x150,604,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StoreLogoOverride71x71,605,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PromoImage1920x1080,606,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PromoImage2400x1200,607,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxBrandedKeyArt584x800,608,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxTitledHero1920x1080,609,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxFeaturedPromo1080x1080,610,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OptionalPromo358x358,611,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OptionalPromo1000x800,612,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OptionalPromo414x180,613,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature1,700,Text,,Supports most formats thanks to the MediaInfo library,يدعم معظم التنسيقات بفضل مكتبة MediaInfo,Падтрымлівае большасць фарматаў дзякуючы бібліятэцы MediaInfo,Поддържа повечето формати благодарение на библиотеката MediaInfo,Admet la majoria de formats gràcies a la biblioteca MediaInfo,Podpora většiny formátů díky knihovně MediaInfo,Understøtter de fleste formater takket være MediaInfo-biblioteket,Unterstützt dank der MediaInfo-Bibliothek die meisten Formate,Υποστηρίζει τα περισσότερα φορμά χάρη στη βιβλιοθήκη MediaInfo,Compatible con la mayoría de formatos gracias a la biblioteca MediaInfo,Formatu gehienak onartzen ditu MediaInfo liburutegiari esker,به لطف کتابخانهٔ MediaInfo از بیشتر فرمت‌ها پشتیبانی می‌کند,Prend en charge la plupart des formats grâce à la bibliothèque MediaInfo,Compatible coa maioría dos formatos grazas á biblioteca MediaInfo,Podržava većinu formata zahvaljujući biblioteci MediaInfo,A MediaInfo könyvtárnak köszönhetően a legtöbb formátumot támogatja,Աջակցում է մեծաթիվ ձևաչափերի՝ MediaInfo գրադարանի շնորհիվ,Mendukung sebagian besar format berkat pustaka MediaInfo,Supporta la maggior parte dei formati grazie alla libreria MediaInfo,MediaInfo ライブラリにより、ほとんどの形式に対応,MediaInfo ბიბლიოთეკის წყალობით უმეტეს ფორმატს უჭერს მხარს,MediaInfo 라이브러리로 대부분의 형식 지원,Dėl MediaInfo bibliotekos palaikoma dauguma formatų,Ondersteunt de meeste indelingen dankzij de MediaInfo-bibliotheek,Obsługuje większość formatów dzięki bibliotece MediaInfo,Suporta a maioria dos formatos graças à biblioteca MediaInfo,Compatível com a maioria dos formatos graças à biblioteca MediaInfo,Acceptă majoritatea formatelor datorită bibliotecii MediaInfo,Поддерживает большинство форматов благодаря библиотеке MediaInfo,Podporuje väčšinu formátov vďaka knižnici MediaInfo,Mbështet shumicën e formateve falë bibliotekës MediaInfo,Stöder de flesta format tack vare biblioteket MediaInfo,รองรับฟอร์แมตส่วนใหญ่ด้วยไลบรารี MediaInfo,MediaInfo kitaplığı sayesinde çoğu biçimi destekler,Підтримує більшість форматів завдяки бібліотеці MediaInfo,借助 MediaInfo 库支持大多数格式,靠 MediaInfo 程式庫支援大部分格式,透過 MediaInfo 程式庫支援多數格式
Feature2,701,Text,,Fluent design,تصميم Fluent,Fluent-дызайн,Fluent дизайн,Disseny Fluent,Fluent design,Fluent-design,Fluent-Design,Fluent σχεδίαση,Diseño Fluent,Fluent diseinua,طراحی Fluent,Design Fluent,Deseño Fluent,Fluent dizajn,Fluent dizájn,Fluent ձևավորում,Desain Fluent,Fluent Design,Fluent デザイン,Fluent დიზაინი,Fluent 디자인,Fluent dizainas,Fluent-ontwerp,Styl Fluent,Design Fluent,Design fluente,Design Fluent,Дизайн Fluent,Fluent dizajn,Dizajn Fluent,Fluent-design,ดีไซน์ Fluent,Fluent tasarım,Дизайн Fluent,Fluent 设计,Fluent 設計,Fluent 設計
Feature3,702,Text,,Context menu integration,تكامل قائمة السياق,Інтэграцыя ў кантэкстнае меню,Интеграция в контекстното меню,Integració al menú contextual,Integrace do kontextové nabídky,Integration i genvejsmenu,Integration ins Kontextmenü,Ενσωμάτωση μενού περιβάλλοντος,Integración con el menú contextual,Testuinguru-menurako integrazioa,یکپارچه‌سازی با منوی زمینه,Intégration au menu contextuel,Integración no menú contextual,Integracija u kontekstni izbornik,Integráció a helyi menübe,Համատեքստային ընտրացանկի ինտեգրում,Integrasi menu konteks,Integrazione nel menu contestuale,コンテキスト メニューとの統合,კონტექსტური მენიუს ინტეგრაცია,상황에 맞는 메뉴 통합,Integracija su kontekstiniu meniu,Integratie met contextmenu,Integracja z menu kontekstowym,Integração no menu de contexto,Integração com o menu de contexto,Integrare în meniul contextual,Интеграция с контекстным меню,Integrácia do kontextovej ponuky,Integrim me menunë e kontekstit,Integrering med snabbmenyn,ผสานรวมกับเมนูบริบท,Bağlam menüsü tümleştirmesi,Інтеграція з контекстним меню,集成到上下文菜单,整合內容功能表,整合內容功能表
Feature4,703,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature5,704,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature6,705,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature7,706,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature8,707,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature9,708,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature10,709,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature11,710,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature12,711,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature13,712,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature14,713,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature15,714,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature16,715,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature17,716,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature18,717,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature19,718,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature20,719,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq1,800,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq2,801,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq3,802,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq4,803,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq5,804,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq6,805,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq7,806,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq8,807,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq9,808,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq10,809,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq11,810,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq1,850,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq2,851,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq3,852,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq4,853,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq5,854,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq6,855,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq7,856,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq8,857,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq9,858,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq10,859,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq11,860,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchTerm1,900,Text,,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo
SearchTerm2,901,Text,,video,فيديو,відэа,видео,vídeo,video,video,Video,βίντεο,vídeo,bideoa,ویدیو,vidéo,vídeo,video,videó,տեսանյութ,video,video,video,ვიდეო,비디오,vaizdo įrašas,video,wideo,vídeo,vídeo,video,видео,video,video,video,วิดีโอ,video,відео,视频,影片,影片
SearchTerm3,902,Text,,metadata,بيانات التعريف,метаданыя,метаданни,metadades,metadata,metadata,Metadaten,μεταδεδομένα,metadatos,metadatuak,فراداده,métadonnées,metadatos,metapodaci,metaadatok,մետատվյալներ,metadata,metadati,metadata,მეტამონაცემები,메타데이터,metaduomenys,metadata,metadane,metadados,metadados,metadate,метаданные,metadáta,metadata,metadata,เมทาดาทา,üst veri,метадані,元数据,中繼資料,中繼資料
SearchTerm4,903,Text,,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4
SearchTerm5,904,Text,,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv
SearchTerm6,905,Text,,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm
SearchTerm7,906,Text,,bitrate,معدل البت,бітрэйт,битрейт,bitrate,datový tok,bitrate,Bitrate,bitrate,tasa de bits,bitrate,نرخ بیت,débit binaire,taxa de bits,bitrate,bitráta,բիթրեյթ,bitrate,bitrate,bitrate,ბიტრეიტი,비트 전송률,bitrate,bitrate,bitrate,taxa de bits,bitrate,bitrate,битрейт,bitrate,bitrate,bitrate,บิตเรต,bit hızı,бітрейт,比特率,位元率,位元率
TrailerToPlayAtTopOfListing,999,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer1,1000,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer2,1001,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer3,1002,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer4,1003,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer5,1004,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer6,1005,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer7,1006,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer8,1007,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer9,1008,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer10,1009,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer11,1010,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer12,1011,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer13,1012,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer14,1013,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer15,1014,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle1,1020,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle2,1021,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle3,1022,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle4,1023,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle5,1024,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle6,1025,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle7,1026,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle8,1027,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle9,1028,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle10,1029,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle11,1030,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle12,1031,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle13,1032,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle14,1033,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle15,1034,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail1,1040,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail2,1041,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail3,1042,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail4,1043,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail5,1044,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail6,1045,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail7,1046,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail8,1047,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail9,1048,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail10,1049,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail11,1050,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail12,1051,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail13,1052,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail14,1053,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail15,1054,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption1,1055,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption2,1056,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption3,1057,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption4,1058,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption5,1059,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption6,1060,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption7,1061,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption8,1062,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption9,1063,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption10,1064,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption11,1065,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption12,1066,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption13,1067,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption14,1068,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption15,1069,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription1,1070,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription2,1071,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription3,1072,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription4,1073,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription5,1074,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription6,1075,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription7,1076,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription8,1077,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription9,1078,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription10,1079,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription11,1080,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
